serial,epoch,datasize,batchsize,input_width,input_height,input_dim,output_dim,max_core,executor_cores,task_cpus,driver_core,executor_instances,driver_memory,executor_memory,parallelism
392,1,60000,240,24,13,312,6,8,2,1,5,4,12g,29g,1
393,1,60000,150,49,37,1813,69,5,5,1,2,1,5g,15g,1
394,1,60000,630,12,50,600,37,21,7,1,6,3,9g,22g,1
395,1,60000,720,37,25,925,101,24,4,1,3,6,2g,7g,1
396,1,60000,900,6,31,186,22,30,6,1,3,5,7g,25g,1
397,1,60000,180,31,7,217,85,6,3,1,6,2,14g,11g,1
398,1,60000,120,18,19,342,53,4,1,1,1,4,4g,18g,1
399,1,60000,840,43,44,1892,117,28,4,1,4,7,10g,4g,1
400,1,60000,180,17,36,612,105,6,6,1,6,1,14g,3g,1
401,1,60000,360,41,11,451,41,12,3,1,3,4,7g,17g,1
402,1,60000,360,5,24,120,73,12,2,1,4,6,11g,10g,1
403,1,60000,450,29,48,1392,10,15,5,1,1,3,4g,25g,1
404,1,60000,60,11,5,55,121,2,1,1,2,2,6g,6g,1
405,1,60000,600,35,30,1050,57,20,4,1,5,5,12g,21g,1
406,1,60000,1080,23,42,966,89,36,6,1,3,6,3g,14g,1
407,1,60000,270,47,18,846,26,9,3,1,6,3,9g,28g,1
408,1,60000,240,1,45,45,49,8,4,1,7,2,2g,8g,1
409,1,60000,1050,26,21,546,113,35,7,1,4,5,8g,23g,1
410,1,60000,900,14,8,112,18,30,5,1,5,6,5g,15g,1
411,1,60000,180,38,33,1254,81,6,2,1,2,3,11g,30g,1
412,1,60000,300,20,14,280,33,10,5,1,2,2,10g,5g,1
413,1,60000,300,44,39,1716,97,10,2,1,5,5,3g,19g,1
414,1,60000,630,8,27,216,2,21,3,1,3,7,13g,12g,1
415,1,60000,720,32,2,64,65,24,6,1,6,4,7g,26g,1
416,1,60000,360,22,47,1034,24,12,2,1,2,6,8g,10g,1
417,1,60000,450,47,23,1081,87,15,5,1,5,3,2g,25g,1
418,1,60000,180,10,11,110,55,6,6,1,4,1,11g,3g,1
419,1,60000,360,34,35,1190,119,12,3,1,7,4,5g,18g,1
420,1,60000,1260,4,17,68,8,42,7,1,6,6,3g,14g,1
421,1,60000,360,28,41,1148,71,12,4,1,3,3,10g,29g,1
422,1,60000,120,16,29,464,39,4,2,1,5,2,6g,7g,1
423,1,60000,750,41,5,205,103,25,5,1,2,5,13g,21g,1
424,1,60000,720,13,32,416,79,24,4,1,1,6,7g,12g,1
425,1,60000,90,37,8,296,16,3,1,1,4,3,14g,27g,1
426,1,60000,90,25,20,500,111,3,3,1,3,1,4g,5g,1
427,1,60000,720,50,44,2200,47,24,6,1,6,4,10g,20g,1
428,1,60000,630,19,1,19,95,21,3,1,6,7,12g,9g,1
429,1,60000,720,44,26,1144,32,24,6,1,3,4,6g,23g,1
430,1,60000,300,7,38,266,127,10,5,1,5,2,9g,1g,1
431,1,60000,300,31,14,434,63,10,2,1,2,5,2g,16g,1
432,1,60000,270,5,9,45,35,9,3,1,4,3,5g,19g,1
433,1,60000,1080,30,34,1020,99,36,6,1,7,6,12g,4g,1
434,1,60000,600,18,46,828,4,20,5,1,2,4,2g,26g,1
435,1,60000,60,42,21,882,67,2,2,1,5,1,8g,11g,1
436,1,60000,600,24,28,672,51,20,5,1,4,4,13g,22g,1
437,1,60000,420,48,3,144,115,14,2,1,1,7,7g,8g,1
438,1,60000,600,11,15,165,20,20,4,1,6,5,10g,29g,1
439,1,60000,420,36,40,1440,83,14,7,1,3,2,4g,15g,1
440,1,60000,540,14,24,336,123,18,6,1,3,3,9g,20g,1
441,1,60000,540,39,49,1911,59,18,3,1,6,6,3g,6g,1
442,1,60000,150,2,37,74,91,5,1,1,2,5,13g,28g,1
443,1,60000,240,27,12,324,28,8,4,1,5,2,6g,13g,1
444,1,60000,240,8,43,344,107,8,2,1,5,4,1g,17g,1
445,1,60000,1050,33,18,594,43,35,5,1,2,7,8g,2g,1
446,1,60000,1050,21,6,126,75,35,7,1,7,5,4g,24g,1
447,1,60000,240,45,31,1395,12,8,4,1,4,2,11g,10g,1
448,1,60000,720,16,6,96,60,24,4,1,3,6,9g,29g,1
449,1,60000,90,40,31,1240,124,3,1,1,6,3,2g,15g,1
450,1,60000,180,3,43,129,29,6,3,1,1,2,12g,22g,1
451,1,60000,900,28,19,532,92,30,6,1,4,5,5g,8g,1
452,1,60000,720,10,37,370,44,24,4,1,5,6,4g,26g,1
453,1,60000,630,34,13,442,108,21,7,1,2,3,10g,11g,1
454,1,60000,150,22,25,550,13,5,5,1,7,1,7g,18g,1
455,1,60000,240,46,49,2254,76,8,2,1,4,4,13g,4g,1
456,1,60000,210,6,16,96,100,7,1,1,4,7,6g,24g,1
457,1,60000,480,31,40,1240,36,16,4,1,7,4,13g,9g,1
458,1,60000,360,19,28,532,68,12,6,1,2,2,3g,17g,1
459,1,60000,450,43,3,129,5,15,3,1,5,5,9g,2g,1
460,1,60000,1080,25,46,1150,116,36,6,1,5,6,11g,27g,1
461,1,60000,270,49,22,1078,52,9,3,1,2,3,4g,13g,1
462,1,60000,120,13,10,130,84,4,2,1,6,2,8g,20g,1
463,1,60000,750,37,34,1258,21,25,5,1,3,5,1g,6g,1
464,1,60000,720,11,39,429,17,24,6,1,1,4,5g,7g,1
465,1,60000,630,36,14,504,80,21,3,1,4,7,11g,21g,1
466,1,60000,300,23,2,46,48,10,2,1,3,5,2g,14g,1
467,1,60000,300,48,26,1248,112,10,5,1,6,2,8g,28g,1
468,1,60000,180,17,20,340,33,6,2,1,7,3,13g,3g,1
469,1,60000,900,42,45,1890,96,30,5,1,4,6,7g,17g,1
470,1,60000,840,5,32,160,64,28,7,1,5,4,10g,10g,1
471,1,60000,120,29,8,232,128,4,4,1,2,1,3g,25g,1
472,1,60000,360,20,29,580,88,12,3,1,2,4,11g,1g,1
473,1,60000,1260,45,5,225,25,42,6,1,5,7,4g,16g,1
474,1,60000,600,8,17,136,120,20,4,1,3,5,14g,8g,1
475,1,60000,60,32,42,1344,56,2,1,1,6,2,7g,23g,1
476,1,60000,450,2,11,22,72,15,5,1,6,3,2g,5g,1
477,1,60000,360,26,36,936,9,12,2,1,3,6,9g,19g,1
478,1,60000,600,14,48,672,104,20,4,1,4,5,6g,12g,1
479,1,60000,420,39,23,897,40,14,7,1,1,2,12g,27g,1
480,1,60000,300,3,26,78,114,10,2,1,6,5,4g,13g,1
481,1,60000,300,27,1,27,50,10,5,1,3,2,10g,28g,1
482,1,60000,540,15,13,195,82,18,6,1,5,3,7g,6g,1
483,1,60000,540,39,38,1482,19,18,3,1,2,6,14g,21g,1
484,1,60000,720,21,7,147,98,24,6,1,1,4,9g,10g,1
485,1,60000,90,46,32,1472,34,3,3,1,4,1,2g,24g,1
486,1,60000,90,9,44,396,66,3,1,1,3,3,12g,3g,1
487,1,60000,720,33,19,627,3,24,4,1,6,6,5g,17g,1
488,1,60000,750,18,41,738,42,25,5,1,6,5,11g,12g,1
489,1,60000,120,42,16,672,106,4,2,1,3,2,5g,26g,1
490,1,60000,480,6,4,24,11,16,4,1,5,4,8g,4g,1
491,1,60000,1470,30,29,870,74,49,7,1,2,7,1g,19g,1
492,1,60000,360,12,23,276,58,12,3,1,2,4,6g,15g,1
493,1,60000,180,36,47,1692,122,6,6,1,5,1,13g,30g,1
494,1,60000,360,24,35,840,27,12,4,1,4,3,3g,8g,1
495,1,60000,180,49,10,490,90,6,1,1,7,6,10g,22g,1
496,1,60000,180,23,18,414,70,6,3,1,5,2,12g,20g,1
497,1,60000,900,47,42,1974,7,30,6,1,2,5,6g,5g,1
498,1,60000,900,10,30,300,102,30,5,1,7,6,9g,27g,1
499,1,60000,180,35,6,210,38,6,2,1,4,3,3g,12g,1
500,1,60000,120,4,49,196,86,4,4,1,3,1,4g,16g,1
501,1,60000,120,29,24,696,23,4,1,1,6,4,11g,2g,1
502,1,60000,540,16,12,192,118,18,3,1,1,6,1g,23g,1
503,1,60000,540,41,36,1476,54,18,6,1,4,3,8g,9g,1
504,1,60000,420,7,3,21,31,14,7,1,4,2,2g,18g,1
505,1,60000,600,32,27,864,94,20,4,1,1,5,8g,3g,1
506,1,60000,420,19,39,741,62,14,2,1,6,7,5g,25g,1
507,1,60000,600,44,15,660,126,20,5,1,3,4,12g,11g,1
508,1,60000,120,13,33,429,15,4,2,1,3,2,10g,22g,1
509,1,60000,750,38,9,342,78,25,5,1,6,5,3g,7g,1
510,1,60000,1080,1,21,21,46,36,6,1,2,6,13g,29g,1
511,1,60000,270,26,46,1196,110,9,3,1,5,3,7g,14g,1
512,1,60000,900,13,19,247,20,30,6,1,4,5,7g,19g,1
513,1,60000,180,38,43,1634,84,6,3,1,7,2,13g,4g,1
514,1,60000,240,1,31,31,52,8,2,1,2,4,3g,26g,1
515,1,60000,1050,26,7,182,115,35,5,1,5,7,10g,12g,1
516,1,60000,150,7,49,343,4,5,1,1,4,5,11g,22g,1
517,1,60000,240,32,25,800,68,8,4,1,1,2,5g,8g,1
518,1,60000,540,19,13,247,36,18,6,1,6,3,8g,30g,1
519,1,60000,540,44,37,1628,100,18,3,1,3,6,2g,15g,1
520,1,60000,600,4,3,12,76,20,4,1,3,5,9g,21g,1
521,1,60000,420,29,28,812,12,14,7,1,6,2,2g,6g,1
522,1,60000,450,16,40,640,108,15,5,1,1,3,12g,28g,1
523,1,60000,360,41,16,656,44,12,2,1,4,6,6g,13g,1
524,1,60000,480,22,34,748,92,16,4,1,5,4,4g,17g,1
525,1,60000,30,47,10,470,28,1,1,1,2,1,11g,3g,1
526,1,60000,270,10,22,220,123,9,3,1,6,3,7g,24g,1
527,1,60000,1080,35,46,1610,60,36,6,1,3,6,14g,10g,1
528,1,60000,300,12,26,312,40,10,5,1,2,2,10g,11g,1
529,1,60000,300,36,2,72,104,10,2,1,5,5,4g,25g,1
530,1,60000,840,24,14,336,8,28,4,1,3,7,13g,3g,1
531,1,60000,840,49,39,1911,72,28,7,1,6,4,7g,18g,1
532,1,60000,180,18,8,144,56,6,3,1,6,2,2g,14g,1
533,1,60000,900,42,33,1386,119,30,6,1,3,5,9g,29g,1
534,1,60000,720,6,45,270,24,24,4,1,4,6,5g,7g,1
535,1,60000,90,30,20,600,88,3,1,1,1,3,12g,22g,1
536,1,60000,120,21,42,882,127,4,2,1,2,2,4g,13g,1
537,1,60000,750,45,17,765,64,25,5,1,5,5,11g,27g,1
538,1,60000,1470,9,5,45,96,49,7,1,3,7,1g,5g,1
539,1,60000,480,33,29,957,32,16,4,1,6,4,8g,20g,1
540,1,60000,180,3,23,69,112,6,6,1,7,1,13g,9g,1
541,1,60000,360,27,48,1296,48,12,3,1,4,4,6g,23g,1
542,1,60000,360,15,36,540,80,12,2,1,5,6,9g,2g,1
543,1,60000,450,39,11,429,16,15,5,1,2,3,3g,16g,1
544,1,60000,630,2,38,76,90,21,3,1,6,7,11g,2g,1
545,1,60000,720,26,13,338,26,24,6,1,3,4,4g,17g,1
546,1,60000,240,14,1,14,121,8,4,1,4,2,8g,9g,1
547,1,60000,150,39,26,1014,58,5,1,1,1,5,1g,24g,1
548,1,60000,900,20,20,400,74,30,5,1,2,6,6g,6g,1
549,1,60000,180,45,44,1980,10,6,2,1,5,3,12g,20g,1
550,1,60000,120,8,32,256,106,4,4,1,4,1,3g,13g,1
551,1,60000,840,32,7,224,42,28,7,1,7,4,9g,27g,1
552,1,60000,1080,17,29,493,2,36,6,1,6,6,3g,8g,1
553,1,60000,270,42,4,168,66,9,3,1,3,3,10g,22g,1
554,1,60000,60,5,16,80,34,2,1,1,5,2,7g,15g,1
555,1,60000,600,29,41,1189,98,20,4,1,2,5,13g,29g,1
556,1,60000,360,11,10,110,18,12,2,1,1,6,8g,4g,1
557,1,60000,450,36,35,1260,82,15,5,1,4,3,2g,18g,1
558,1,60000,180,23,47,1081,50,6,6,1,3,1,12g,11g,1
559,1,60000,360,48,23,1104,113,12,3,1,6,4,5g,26g,1
560,1,60000,240,25,6,150,110,8,2,1,4,4,2g,23g,1
561,1,60000,1050,49,30,1470,46,35,5,1,1,7,9g,8g,1
562,1,60000,900,13,42,546,78,30,6,1,6,5,6g,16g,1
563,1,60000,180,37,18,666,14,6,3,1,3,2,12g,1g,1
564,1,60000,630,6,36,216,125,21,7,1,4,3,10g,27g,1
565,1,60000,720,31,12,372,62,24,4,1,7,6,4g,12g,1
566,1,60000,300,19,24,456,94,10,2,1,2,5,14g,19g,1
567,1,60000,300,43,49,2107,30,10,5,1,5,2,7g,5g,1
568,1,60000,480,9,15,135,54,16,4,1,5,4,13g,28g,1
569,1,60000,210,34,39,1326,117,7,1,1,2,7,6g,14g,1
570,1,60000,450,22,27,594,22,15,3,1,7,5,10g,21g,1
571,1,60000,360,46,3,138,86,12,6,1,4,2,3g,7g,1
572,1,60000,270,16,46,736,38,9,3,1,3,3,5g,25g,1
573,1,60000,1080,40,21,840,102,36,6,1,6,6,11g,10g,1
574,1,60000,600,3,9,27,6,20,5,1,2,4,1g,18g,1
575,1,60000,60,28,33,924,70,2,2,1,5,1,8g,3g,1
576,1,60000,1080,8,10,80,116,36,6,1,5,6,12g,20g,1
577,1,60000,270,33,34,1122,53,9,3,1,2,3,6g,5g,1
578,1,60000,30,21,47,987,85,1,1,1,7,1,9g,27g,1
579,1,60000,480,45,22,990,21,16,4,1,4,4,3g,12g,1
580,1,60000,420,14,28,392,101,14,2,1,3,7,7g,16g,1
581,1,60000,600,39,4,156,37,20,5,1,6,4,14g,1g,1
582,1,60000,420,2,16,32,69,14,7,1,1,2,4g,23g,1
583,1,60000,600,27,41,1107,5,20,4,1,4,5,11g,9g,1
584,1,60000,540,24,25,600,45,18,3,1,5,6,3g,18g,1
585,1,60000,540,48,50,2400,109,18,6,1,2,3,10g,3g,1
586,1,60000,120,11,38,418,13,4,4,1,6,1,7g,25g,1
587,1,60000,120,36,13,468,77,4,1,1,3,4,13g,10g,1
588,1,60000,900,5,44,220,61,30,5,1,4,6,8g,21g,1
589,1,60000,180,30,19,570,124,6,2,1,7,3,2g,7g,1
590,1,60000,180,18,7,126,29,6,3,1,2,2,11g,29g,1
591,1,60000,900,42,31,1302,93,30,6,1,5,5,5g,14g,1
592,1,60000,450,19,48,912,65,15,5,1,7,3,1g,13g,1
593,1,60000,360,44,24,1056,1,12,2,1,4,6,8g,28g,1
594,1,60000,450,7,11,77,97,15,3,1,5,5,5g,6g,1
595,1,60000,360,31,36,1116,33,12,6,1,2,2,11g,20g,1
596,1,60000,480,13,18,234,81,16,4,1,2,4,9g,10g,1
597,1,60000,1470,37,42,1554,17,49,7,1,5,7,3g,24g,1
598,1,60000,750,25,30,750,112,25,5,1,3,5,13g,2g,1
599,1,60000,120,50,5,250,49,4,2,1,6,2,6g,17g,1
600,1,60000,90,4,33,132,25,3,1,1,6,3,14g,11g,1
601,1,60000,720,28,8,224,89,24,4,1,3,6,7g,26g,1
602,1,60000,720,16,21,336,57,24,6,1,4,4,10g,4g,1
603,1,60000,90,40,45,1800,120,3,3,1,1,1,4g,19g,1
604,1,60000,630,22,2,44,9,21,7,1,2,3,5g,15g,1
605,1,60000,720,47,27,1269,73,24,4,1,5,6,12g,30g,1
606,1,60000,300,10,39,390,41,10,2,1,3,5,2g,8g,1
607,1,60000,300,34,15,510,105,10,5,1,6,2,9g,22g,1
608,1,60000,450,20,35,700,63,15,3,1,1,5,7g,7g,1
609,1,60000,360,44,11,484,126,12,6,1,4,2,13g,22g,1
610,1,60000,450,8,23,184,31,15,5,1,3,3,4g,15g,1
611,1,60000,360,32,47,1504,95,12,2,1,6,6,10g,29g,1
612,1,60000,600,1,5,5,47,20,4,1,6,5,12g,4g,1
613,1,60000,60,26,29,754,111,2,1,1,3,2,5g,18g,1
614,1,60000,360,14,41,574,15,12,3,1,5,4,8g,11g,1
615,1,60000,1260,38,17,646,79,42,6,1,2,7,2g,25g,1
616,1,60000,840,11,44,484,103,28,7,1,2,4,8g,2g,1
617,1,60000,120,35,20,700,39,4,4,1,5,1,1g,16g,1
618,1,60000,180,23,8,184,71,6,2,1,4,3,11g,9g,1
619,1,60000,900,47,32,1504,7,30,5,1,7,6,4g,24g,1
620,1,60000,300,17,14,238,118,10,2,1,6,5,3g,6g,1
621,1,60000,300,41,38,1558,55,10,5,1,3,2,9g,20g,1
622,1,60000,540,4,26,104,87,18,6,1,5,3,6g,13g,1
623,1,60000,540,29,2,58,23,18,3,1,2,6,13g,27g,1
624,1,60000,120,6,21,126,11,4,2,1,3,2,10g,30g,1
625,1,60000,750,31,46,1426,75,25,5,1,6,5,3g,15g,1
626,1,60000,1260,18,34,612,43,42,7,1,1,6,13g,23g,1
627,1,60000,360,43,9,387,107,12,4,1,4,3,6g,8g,1
628,1,60000,360,24,40,960,27,12,6,1,5,2,2g,26g,1
629,1,60000,450,49,15,735,91,15,3,1,2,5,8g,12g,1
630,1,60000,210,12,3,36,59,7,1,1,7,7,5g,19g,1
631,1,60000,480,37,28,1036,122,16,4,1,4,4,11g,5g,1
632,1,60000,150,15,12,180,83,5,5,1,3,1,6g,25g,1
633,1,60000,240,40,37,1480,19,8,2,1,6,4,12g,10g,1
634,1,60000,720,3,49,147,114,24,4,1,2,6,2g,17g,1
635,1,60000,630,27,24,648,51,21,7,1,5,3,9g,3g,1
636,1,60000,180,9,31,279,67,6,3,1,4,2,14g,28g,1
637,1,60000,900,34,6,204,3,30,6,1,1,5,7g,14g,1
638,1,60000,1050,21,18,378,99,35,5,1,6,7,10g,21g,1
639,1,60000,240,46,43,1978,35,8,2,1,3,4,4g,6g,1
640,1,60000,720,5,30,150,108,24,4,1,2,6,2g,5g,1
641,1,60000,90,30,5,150,45,3,1,1,5,3,8g,20g,1
642,1,60000,90,17,17,289,76,3,3,1,3,1,5g,13g,1
643,1,60000,720,42,42,1764,13,24,6,1,6,4,12g,27g,1
644,1,60000,720,23,11,253,124,24,4,1,7,6,10g,2g,1
645,1,60000,630,48,36,1728,60,21,7,1,4,3,4g,16g,1
646,1,60000,300,11,48,528,92,10,5,1,5,2,13g,9g,1
647,1,60000,300,36,24,864,29,10,2,1,2,5,7g,24g,1
648,1,60000,180,14,39,546,52,6,1,1,2,6,12g,4g,1
649,1,60000,360,39,14,546,116,12,4,1,5,3,6g,18g,1
650,1,60000,180,2,2,4,21,6,6,1,4,1,9g,11g,1
651,1,60000,360,27,27,729,84,12,3,1,7,4,3g,25g,1
652,1,60000,1260,8,20,160,37,42,6,1,6,7,4g,7g,1
653,1,60000,360,33,45,1485,100,12,3,1,3,4,11g,22g,1
654,1,60000,120,20,33,660,5,4,2,1,4,2,1g,14g,1
655,1,60000,750,45,8,360,68,25,5,1,1,5,8g,29g,1
656,1,60000,540,22,16,352,96,18,6,1,3,3,11g,28g,1
657,1,60000,540,46,40,1840,33,18,3,1,6,6,5g,14g,1
658,1,60000,240,10,28,280,128,8,2,1,1,4,8g,21g,1
659,1,60000,150,34,4,136,64,5,5,1,4,1,1g,6g,1
660,1,60000,180,4,47,188,80,6,2,1,5,3,6g,24g,1
661,1,60000,900,28,22,616,17,30,5,1,2,6,13g,10g,1
662,1,60000,1050,16,10,160,112,35,7,1,6,5,3g,17g,1
663,1,60000,240,40,34,1360,49,8,4,1,3,2,10g,3g,1
664,1,60000,270,13,7,91,9,9,3,1,4,3,4g,26g,1
665,1,60000,1080,37,31,1147,72,36,6,1,7,6,10g,12g,1
666,1,60000,600,25,43,1075,41,20,4,1,2,5,7g,19g,1
667,1,60000,60,49,19,931,104,2,1,1,5,2,14g,4g,1
668,1,60000,600,19,37,703,25,20,5,1,4,4,9g,30g,1
669,1,60000,420,43,13,559,88,14,2,1,1,7,2g,15g,1
670,1,60000,450,7,25,175,56,15,3,1,6,5,12g,23g,1
671,1,60000,360,31,50,1550,120,12,6,1,3,2,6g,8g,1
672,1,60000,240,17,3,51,35,8,2,1,5,4,11g,21g,1
673,1,60000,150,41,27,1107,98,5,5,1,2,1,4g,7g,1
674,1,60000,540,4,40,160,3,18,6,1,7,3,14g,28g,1
675,1,60000,540,29,15,435,66,18,3,1,4,6,7g,14g,1
676,1,60000,900,10,33,330,50,30,6,1,3,5,3g,18g,1
677,1,60000,180,35,9,315,114,6,3,1,6,2,9g,3g,1
678,1,60000,90,23,21,483,19,3,1,1,2,3,6g,25g,1
679,1,60000,720,47,46,2162,82,24,4,1,5,6,12g,10g,1
680,1,60000,600,1,18,18,122,20,5,1,4,4,5g,16g,1
681,1,60000,60,26,43,1118,58,2,2,1,1,1,11g,1g,1
682,1,60000,360,13,30,390,90,12,4,1,6,3,2g,23g,1
683,1,60000,1260,38,6,228,27,42,7,1,3,6,8g,9g,1
684,1,60000,450,20,49,980,106,15,3,1,4,5,13g,19g,1
685,1,60000,360,44,24,1056,43,12,6,1,7,2,7g,5g,1
686,1,60000,600,7,12,84,74,20,5,1,2,4,10g,27g,1
687,1,60000,420,32,37,1184,11,14,2,1,5,7,3g,12g,1
688,1,60000,120,9,41,369,23,4,4,1,6,1,6g,15g,1
689,1,60000,840,33,17,561,86,28,7,1,3,4,13g,29g,1
690,1,60000,900,21,4,84,54,30,5,1,5,6,3g,8g,1
691,1,60000,180,46,29,1334,118,6,2,1,2,3,9g,22g,1
692,1,60000,240,15,23,345,7,8,4,1,1,2,11g,11g,1
693,1,60000,150,40,47,1880,70,5,1,1,4,5,5g,26g,1
694,1,60000,630,3,35,105,39,21,3,1,3,7,8g,4g,1
695,1,60000,720,27,11,297,102,24,6,1,6,4,1g,19g,1
696,1,60000,420,24,26,624,78,14,7,1,6,2,9g,9g,1
697,1,60000,600,49,1,49,15,20,4,1,3,5,2g,24g,1
698,1,60000,360,12,14,168,110,12,2,1,5,6,12g,2g,1
699,1,60000,450,36,38,1368,47,15,5,1,2,3,5g,17g,1
700,1,60000,120,6,7,42,94,4,2,1,2,2,4g,13g,1
701,1,60000,750,30,32,960,31,25,5,1,5,5,10g,28g,1
702,1,60000,1260,18,44,792,126,42,6,1,4,7,7g,6g,1
703,1,60000,360,43,20,860,62,12,3,1,7,4,13g,20g,1
704,1,60000,750,23,45,1035,14,25,5,1,6,5,9g,4g,1
705,1,60000,120,48,21,1008,77,4,2,1,3,2,3g,18g,1
706,1,60000,270,11,9,99,46,9,3,1,4,3,13g,11g,1
707,1,60000,1080,35,33,1155,109,36,6,1,1,6,6g,26g,1
708,1,60000,360,5,15,75,30,12,3,1,2,4,1g,7g,1
709,1,60000,180,29,39,1131,93,6,6,1,5,1,8g,22g,1
710,1,60000,360,17,27,459,61,12,4,1,3,3,4g,15g,1
711,1,60000,180,41,2,82,125,6,1,1,6,6,11g,29g,1
712,1,60000,300,8,36,288,85,10,2,1,7,5,5g,6g,1
713,1,60000,300,32,12,384,22,10,5,1,4,2,12g,20g,1
714,1,60000,840,20,24,480,117,28,7,1,5,4,2g,13g,1
715,1,60000,840,44,48,2112,53,28,4,1,2,7,9g,27g,1
716,1,60000,900,14,6,84,69,30,6,1,1,5,13g,2g,1
717,1,60000,180,38,30,1140,6,6,3,1,4,2,7g,16g,1
718,1,60000,90,2,42,84,101,3,1,1,3,3,10g,9g,1
719,1,60000,720,26,18,468,38,24,4,1,6,6,4g,24g,1
720,1,60000,420,3,13,39,57,14,7,1,5,2,7g,25g,1
721,1,60000,600,28,38,1064,121,20,4,1,2,5,14g,10g,1
722,1,60000,420,15,50,750,26,14,2,1,6,7,4g,17g,1
723,1,60000,600,40,25,1000,89,20,5,1,3,4,11g,3g,1
724,1,60000,30,22,32,704,42,1,1,1,4,1,12g,28g,1
725,1,60000,480,46,7,322,105,16,4,1,7,4,6g,14g,1
726,1,60000,1080,9,19,171,10,36,6,1,2,6,9g,21g,1
727,1,60000,270,34,44,1496,73,9,3,1,5,3,2g,7g,1
728,1,60000,240,18,22,396,97,8,4,1,5,2,8g,26g,1
729,1,60000,1050,43,47,2021,34,35,7,1,2,5,2g,12g,1
730,1,60000,1050,6,35,210,65,35,5,1,7,7,11g,19g,1
731,1,60000,240,31,10,310,2,8,2,1,4,4,5g,5g,1
732,1,60000,300,12,41,492,113,10,5,1,3,2,3g,23g,1
733,1,60000,300,37,16,592,49,10,2,1,6,5,10g,8g,1
734,1,60000,540,25,4,100,81,18,3,1,1,6,6g,16g,1
735,1,60000,540,49,29,1421,18,18,6,1,4,3,13g,1g,1
736,1,60000,180,12,25,300,71,6,1,1,3,6,2g,17g,1
737,1,60000,360,36,49,1764,8,12,4,1,6,3,8g,2g,1
738,1,60000,360,24,37,888,103,12,6,1,2,2,5g,24g,1
739,1,60000,450,48,12,576,40,15,3,1,5,5,12g,10g,1
740,1,60000,1260,18,43,774,87,42,7,1,4,6,10g,21g,1
741,1,60000,360,42,19,798,24,12,4,1,1,3,3g,6g,1
742,1,60000,60,5,6,30,119,2,2,1,6,1,13g,28g,1
743,1,60000,600,30,31,930,55,20,5,1,3,4,7g,13g,1
744,1,60000,840,21,9,189,32,28,4,1,3,7,14g,22g,1
745,1,60000,120,45,34,1530,95,4,1,1,6,4,7g,8g,1
746,1,60000,180,9,46,414,63,6,3,1,1,2,11g,30g,1
747,1,60000,900,33,22,726,127,30,6,1,4,5,4g,15g,1
748,1,60000,540,2,28,56,16,18,3,1,5,6,6g,19g,1
749,1,60000,540,27,3,81,79,18,6,1,2,3,12g,4g,1
750,1,60000,150,15,15,225,48,5,5,1,7,1,3g,26g,1
751,1,60000,240,39,40,1560,111,8,2,1,4,4,9g,12g,1
752,1,60000,360,16,32,512,115,12,3,1,2,4,12g,9g,1
753,1,60000,1260,41,8,328,51,42,6,1,5,7,5g,23g,1
754,1,60000,750,4,20,80,83,25,5,1,4,5,9g,2g,1
755,1,60000,120,28,45,1260,20,4,2,1,7,2,2g,16g,1
756,1,60000,450,10,2,20,99,15,5,1,6,3,7g,12g,1
757,1,60000,360,35,26,910,36,12,2,1,3,6,14g,27g,1
758,1,60000,480,22,38,836,67,16,4,1,5,4,4g,5g,1
759,1,60000,210,47,14,658,4,7,7,1,2,1,10g,20g,1
760,1,60000,720,7,48,336,44,24,6,1,1,4,3g,14g,1
761,1,60000,630,31,23,713,107,21,3,1,4,7,10g,29g,1
762,1,60000,150,19,11,209,12,5,1,1,3,5,6g,7g,1
763,1,60000,240,44,35,1540,75,8,4,1,6,2,13g,21g,1
764,1,60000,180,25,17,425,59,6,2,1,6,3,8g,11g,1
765,1,60000,900,50,42,2100,123,30,5,1,3,6,1g,25g,1
766,1,60000,900,13,29,377,28,30,6,1,5,5,11g,3g,1
767,1,60000,180,38,5,190,91,6,3,1,2,2,5g,18g,1
768,1,60000,180,13,49,637,56,6,2,1,4,3,4g,27g,1
769,1,60000,900,38,25,950,119,30,5,1,1,6,10g,12g,1
770,1,60000,840,25,12,300,24,28,7,1,6,4,7g,19g,1
771,1,60000,120,50,37,1850,87,4,4,1,3,1,14g,5g,1
772,1,60000,540,19,18,342,40,18,6,1,3,3,9g,23g,1
773,1,60000,540,44,43,1892,103,18,3,1,6,6,2g,8g,1
774,1,60000,150,7,31,217,8,5,1,1,2,5,12g,16g,1
775,1,60000,240,32,6,192,72,8,4,1,5,2,5g,1g,1
776,1,60000,450,22,34,748,111,15,5,1,5,3,11g,25g,1
777,1,60000,360,47,9,423,48,12,2,1,2,6,5g,10g,1
778,1,60000,360,10,22,220,80,12,3,1,7,4,8g,17g,1
779,1,60000,180,35,46,1610,16,6,6,1,4,1,1g,3g,1
780,1,60000,360,4,3,12,127,12,3,1,3,4,6g,28g,1
781,1,60000,1260,29,28,812,64,42,6,1,6,7,13g,14g,1
782,1,60000,600,16,40,640,95,20,4,1,2,5,3g,21g,1
783,1,60000,60,41,15,615,32,2,1,1,5,2,9g,7g,1
784,1,60000,720,15,8,120,4,24,4,1,6,6,13g,6g,1
785,1,60000,630,39,32,1248,68,21,7,1,3,3,7g,20g,1
